,database,name,organism,cell_type,cell_component,phenotype,channels,microscopy,dir_name,path,filename
14,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A06_C23_F1_s22_w1.TIF
15,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A19_C78_F1_s23_w2.TIF
16,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A14_C57_F1_s13_w1.TIF
17,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A18_C74_F1_s06_w1.TIF
18,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A06_C23_F1_s14_w1.TIF
19,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A17_C70_F1_s07_w1.TIF
20,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A10_C40_F1_s05_w1.TIF
21,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A23_C96_F1_s07_w2.TIF
22,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A03_C10_F1_s03_w2.TIF
23,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A05_C18_F1_s07_w1.TIF
24,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A09_C35_F1_s24_w2.TIF
25,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A02_C5_F1_s02_w1.TIF
26,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A17_C70_F1_s02_w2.TIF
27,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A23_C96_F1_s21_w2.TIF
28,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A06_C23_F1_s23_w1.TIF
29,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A01_C1_F1_s10_w2.TIF
30,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A18_C74_F1_s20_w1.TIF
31,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A05_C18_F1_s15_w1.TIF
32,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A18_C74_F1_s07_w1.TIF
33,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A03_C10_F1_s02_w1.TIF
34,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A10_C40_F1_s24_w1.TIF
35,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A19_C78_F1_s09_w2.TIF
36,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A19_C78_F1_s09_w1.TIF
37,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A14_C57_F1_s24_w2.TIF
38,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A21_C87_F1_s18_w2.TIF
39,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A09_C35_F1_s24_w1.TIF
40,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A02_C5_F1_s18_w1.TIF
41,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A06_C23_F1_s14_w2.TIF
42,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A17_C70_F1_s05_w1.TIF
43,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A16_C66_F1_s22_w1.TIF
44,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A24_C100_F1_s07_w1.TIF
45,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A01_C1_F1_s11_w1.TIF
46,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A24_C100_F1_s25_w2.TIF
47,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A18_C74_F1_s21_w1.TIF
48,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A12_C48_F1_s05_w1.TIF
49,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A15_C61_F1_s01_w1.TIF
50,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A13_C53_F1_s19_w1.TIF
51,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A03_C10_F1_s22_w2.TIF
52,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A04_C14_F1_s18_w2.TIF
53,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A23_C96_F1_s11_w1.TIF
54,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A15_C61_F1_s22_w2.TIF
55,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A19_C78_F1_s05_w2.TIF
56,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A07_C27_F1_s11_w2.TIF
57,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A09_C35_F1_s14_w1.TIF
58,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A07_C27_F1_s08_w2.TIF
59,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A06_C23_F1_s16_w1.TIF
60,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A15_C61_F1_s21_w1.TIF
61,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A04_C14_F1_s22_w1.TIF
62,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A01_C1_F1_s24_w1.TIF
63,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A17_C70_F1_s13_w1.TIF
64,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A12_C48_F1_s20_w2.TIF
65,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A08_C31_F1_s11_w2.TIF
66,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A01_C1_F1_s20_w2.TIF
67,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A15_C61_F1_s18_w1.TIF
68,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A07_C27_F1_s17_w1.TIF
69,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A22_C91_F1_s25_w2.TIF
70,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A12_C48_F1_s06_w2.TIF
71,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A17_C70_F1_s17_w1.TIF
72,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A22_C91_F1_s22_w1.TIF
73,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A11_C44_F1_s09_w1.TIF
74,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A12_C48_F1_s22_w1.TIF
75,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A08_C31_F1_s17_w2.TIF
76,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A24_C100_F1_s08_w2.TIF
77,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A06_C23_F1_s12_w2.TIF
78,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A03_C10_F1_s20_w1.TIF
79,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A22_C91_F1_s24_w2.TIF
80,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A19_C78_F1_s23_w1.TIF
81,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A07_C27_F1_s23_w2.TIF
82,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A09_C35_F1_s01_w2.TIF
83,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A14_C57_F1_s22_w2.TIF
84,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A02_C5_F1_s13_w1.TIF
85,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A22_C91_F1_s23_w2.TIF
86,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A05_C18_F1_s05_w1.TIF
87,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A09_C35_F1_s15_w1.TIF
88,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A10_C40_F1_s01_w1.TIF
89,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A19_C78_F1_s06_w1.TIF
90,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A02_C5_F1_s03_w1.TIF
91,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A06_C23_F1_s02_w2.TIF
92,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A13_C53_F1_s18_w2.TIF
93,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A14_C57_F1_s22_w1.TIF
94,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A20_C83_F1_s13_w1.TIF
95,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A11_C44_F1_s03_w1.TIF
96,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A17_C70_F1_s14_w2.TIF
97,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A24_C100_F1_s04_w1.TIF
98,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A04_C14_F1_s04_w2.TIF
99,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A21_C87_F1_s18_w1.TIF
100,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A16_C66_F1_s20_w1.TIF
101,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A16_C66_F1_s17_w1.TIF
102,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A19_C78_F1_s14_w2.TIF
103,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A08_C31_F1_s10_w2.TIF
104,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A01_C1_F1_s12_w2.TIF
105,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A06_C23_F1_s10_w1.TIF
106,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A06_C23_F1_s15_w1.TIF
107,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A24_C100_F1_s14_w2.TIF
108,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A09_C35_F1_s12_w2.TIF
109,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A16_C66_F1_s09_w2.TIF
110,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A18_C74_F1_s08_w1.TIF
111,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A12_C48_F1_s12_w1.TIF
112,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A22_C91_F1_s09_w2.TIF
113,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A18_C74_F1_s16_w1.TIF
114,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A09_C35_F1_s10_w2.TIF
115,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A17_C70_F1_s06_w2.TIF
116,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A01_C1_F1_s15_w1.TIF
117,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A04_C14_F1_s25_w1.TIF
118,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A08_C31_F1_s22_w2.TIF
119,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A08_C31_F1_s03_w1.TIF
120,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A23_C96_F1_s04_w1.TIF
