database,name,link,organism,cell_type,cell_component,phenotype,segmented?,class_sizes,dataset_size,width,height,format,channels,microscopy,num_plates,notes,augmented?,dir_name,download,metadata_download
Broad Bioimage Benchmark Collection,Synthetic cells,https://bbbc.broadinstitute.org/BBBC005,human,U-2 OS,"['nucleus', 'cell body']",,,"[19200, 19200]",19200,696.0,520.0,tiff,"['f_nucleus', 'f_cell_body']",fluorescence,1.0,Filename nomenclature `SIMCEPImages_well_Ccells_Fblur;_ssamples_wstain.TIF`; intensity of focus blur applied ranges from 1 (no blur) to 48. 'F1' in filename is for fully focused/ground-truth images. Nucleus counts are also given.,True,bbbc_synth,"['https://data.broadinstitute.org/bbbc/BBBC005/BBBC005_v1_images.zip', 'https://data.broadinstitute.org/bbbc/BBBC005/BBBC005_v1_ground_truth.zip']",
Broad Bioimage Benchmark Collection,Human kidney cortex cells,https://bbbc.broadinstitute.org/BBBC051,human,"['TAL', 'S2S3', 'S1S2', 'Nestin', 'CD45', 'CD31int', 'CD31glom', 'CD_CNT']",nucleus,,,"[28562, 11750, 50471, 13336, 2120, 20620, 11678, 37907]",230000,32.0,32.0,tiff,f_nucleus,confocal,,3D Images (7 z-slices per image). Original task is to classify cell type based on 3D nuclei staining.,,bbbc_kidney,"['https://data.broadinstitute.org/bbbc/BBBC051/Images.zip', 'https://data.broadinstitute.org/bbbc/BBBC051/groundtruthlabels.txt']",
Broad Bioimage Benchmark Collection,Human HT29 colon-cancer cells shRNAi screen,https://bbbc.broadinstitute.org/BBBC017,human,HT29,"['nucleus', 'actin']","['kinase', 'phosphatase', 'geneCards.disease', 'tyrosinePhosphatase', 'spliceosome', 'androgen', 'cyclin', 'tf', 'kinase_atp', 'ubiquination', 'internalPh', 'geneCards.cancer', 'nuclearHormoneRecpt', 'gpcr_ancillary', 'kinase_tk', 'kinase_agc', 'lipase', 'kinase_other', 'kinase_tkl', 'proteinDegrad', 'gpcr', 'proteaseInhibitor', 'ionChannel', 'protease', 'ubiqAncillary', 'synthase', 'dnaRepair', 'alzheimer', 'kinase_camk', 'cyclase', 'dehydrogenase', 'hydrogenase', 'carboxylase', 'tumorSuppressor', 'kinase_cmgc', 'transferase', 'deubiquination', 'aminase', 'reductase', 'oxygenase', 'acetylase', 'kinase_ste', 'gProtein']",,"[2558, 991, 0, 875, 230, 131, 149, 113, 284, 60, 89, 85, 185, 65, 47, 25, 25, 40, 26, 20, 112, 70, 48, 59, 68, 44, 13, 10, 27, 16, 20, 27, 27, 5, 13, 10, 35, 8, 5, 5, 5, 11, 5, 10]",64512,512.0,512.0,dib,"['f_nucleus', 'f_actin', 'f_mitosis']",fluorescence (?),28.0,4903 shRNAi screens were done to find regulators of mitosis. Roughly 4331 images have 1+ classes: protein/mechanism of action (?),,bbbc_colon,"['https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-001.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-002.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-003.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-004.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-005.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-006.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-007.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-008.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-009.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-010.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-011.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-012.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-013.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa-014.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+001.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+002.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+003.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+004.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+005.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+006.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+007.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+008.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+009.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+010.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+011.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+012.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+013.zip', 'https://data.broadinstitute.org/bbbc/BBBC017/BBBC017_v1_images_NIRHTa+014.zip']",
Broad Bioimage Benchmark Collection,Human Hepatocyte and Murine Fibroblast cells – Co-culture experiment,https://bbbc.broadinstitute.org/BBBC026,human|mouse,hepatocyte|fibroblast,nucleus,,,864,864,1392.0,1040.0,png,f_nucleus,fluorescence (?),1.0,Human hepatocyte and murine fibroblasts are co-cultured. Both can be seen within an image. ,,bbbc_coculture,https://data.broadinstitute.org/bbbc/BBBC026/BBBC026_v1_images.zip,
Broad Bioimage Benchmark Collection,Human MCF7 cells – compound-profiling experiment,https://bbbc.broadinstitute.org/BBBC021,human,MCF7,"['nucleus', 'actin', 'b-tubulin']","['Microtubule stabilizers', 'DMSO', 'Microtubule destabilizers', 'Aurora kinase inhibitors', 'Eg5 inhibitors', 'DNA damage', 'Protein synthesis', 'DNA replication', 'Epithelial', 'Protein degradation', 'Cholesterol-lowering', 'Actin disruptors', 'Kinase inhibitors']",,"[1428, 1320, 168, 144, 144, 108, 96, 96, 88, 84, 72, 60, 40]",13200,1280.0,1024.0,tiff,"['f_nucleus', 'f_actin', 'f_b_tubulin']",fluorescence (?),55.0,"Mechanism of actions are given by compounds at specific concentrations. Half of the MOA were identified visually, while the other half was given based on the literature.",,bbbc_mcf7_profile,"['https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week1_22123.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week1_22141.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week1_22161.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week1_22361.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week1_22381.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week1_22401.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week2_24121.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week2_24141.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week2_24161.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week2_24361.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week2_24381.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week2_24401.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week3_25421.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week3_25441.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week3_25461.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week3_25681.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week3_25701.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week3_25721.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week4_27481.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week4_27521.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week4_27542.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week4_27801.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week4_27821.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week4_27861.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week5_28901.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week5_28921.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week5_28961.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week5_29301.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week5_29321.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week5_29341.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week6_31641.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week6_31661.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week6_31681.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week6_32061.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week6_32121.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week6_32161.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week7_34341.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week7_34381.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week7_34641.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week7_34661.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week7_34681.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week8_38203.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week8_38221.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week8_38241.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week8_38341.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week8_38342.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week9_39206.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week9_39221.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week9_39222.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week9_39282.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week9_39283.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week9_39301.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week10_40111.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week10_40115.zip', 'https://data.broadinstitute.org/bbbc/BBBC021/BBBC021_v1_images_Week10_40119.zip']",
Broad Bioimage Benchmark Collection,Human White Blood Cells,https://bbbc.broadinstitute.org/BBBC045,human,"['white blood cell (b-cell)', 'white blood cell (t-cell)', 'white blood cell (eosinophil)', 'white blood cell (monocyte)', 'white blood cell (neutrophil)']",,,,"[30, 31, 30, 26, 30]",147,1650.0,1650.0,tiff,"['fluorescence', 'brightfield', 'darkfield']","['fluorescence', 'brightfield', 'darkfield']",,Can compare extracted feature performance in WBC classification to paper. Ground truth labeling was done by thresholding on fluorescent channels. ,,bbbc_wbc,https://data.broadinstitute.org/bbbc/BBBC045/Stained_Montages.zip,
Broad Bioimage Benchmark Collection,P. vivax (malaria) infected human blood smears,https://bbbc.broadinstitute.org/BBBC041,human,"['red blood cell', 'white blood cell']",,"['uninfected', 'infected (gametocytes)', 'infected (rings)', 'infected (trophozoites)', 'infected (schizonts)']",,,1364,,,"png, jpg",brightfield,brightfield,,"Extremely imbalanced towards uninfected red blood cells. Due to 3 sources, variable resolutions and image formats (jpg, png).",,bbbc_malaria,https://data.broadinstitute.org/bbbc/BBBC041/malaria.zip,
Broad Bioimage Benchmark Collection,Murine bone-marrow derived macrophages,https://bbbc.broadinstitute.org/BBBC020,mouse,macrophage,"['nucleus', 'cell surface']",,,"[25, 25]",25,1388.0,1040.0,tiff,"['f_nucleus', 'f_cell_surface']",fluorescence,,Original task is to segment the macrophage cells with given outlines. Third channel is a merged image of the first and second channel.,,bbbc_macrophage,https://data.broadinstitute.org/bbbc/BBBC020/BBBC020_v1_images.zip,
Broad Bioimage Benchmark Collection,Drosophila Kc167 cells,https://bbbc.broadinstitute.org/BBBC007,fly,Kc167,"['nucleus', 'actin']",,,"[16, 16]",16,512.0,512.0,tiff,"['f_nucleus', 'f_actin']",fluorescence (?),,Original task is to learn to outline nuclei; to find boundaries between cells.,,bbbc_kc167,https://data.broadinstitute.org/bbbc/BBBC007/BBBC007_v1_images.zip,
Broad Bioimage Benchmark Collection,Drosophila Kc167 cells (2),https://bbbc.broadinstitute.org/BBBC002,fly,Kc167,nucleus,,,50,50,512.0,512.0,tiff,f_nucleus,fluorescence (?),,"Number of cells per image is given. Images come from 10 fields per 5 samples (1 wildtype, 4 RNAi gene knockdowns). ",,bbbc_kc167_2,https://data.broadinstitute.org/bbbc/BBBC002/BBBC002_v1_images.zip,
Broad Bioimage Benchmark Collection,C. elegans metabolism assay,https://bbbc.broadinstitute.org/BBBC011,nematode,,,"['wildtype', 'fat']",,"[50, 50]",50,691.0,770.0,png,brightfield,brightfield,,"Metabolism assay, where insulin receptor activity is inhibited via intefering RNA.",,bbbc_elegans_meta,https://data.broadinstitute.org/bbbc/BBBC011/BBBC011_v1_images.zip,
Broad Bioimage Benchmark Collection,C. elegans infection marker,https://bbbc.broadinstitute.org/BBBC012,nematode,,intestine|pharynx,"['wildtype', 'infected']",,"[72, 48]",120,691.0,770.0,tiff,"['brightfield', 'f_intestine', 'f_pharynx']","['brightfield', 'fluorescence']",1.0,"When wildtype, f_intestine is located in both posterior and anterior intestine. In mutant, f_intestine is in posterior. Frequencies are given for phenotype.",,bbbc_elegans_infect,https://data.broadinstitute.org/bbbc/BBBC012/BBBC012_v1_images.zip,
Broad Bioimage Benchmark Collection,C. elegans live/dead assay,https://bbbc.broadinstitute.org/BBBC010,nematode,,,"['wildtype', 'dead']",,"[50, 50]",100,969.0,520.0,tiff,"['brightfield', 'f_intestine']","['brightfield', 'fluorescence']",1.0,"For rows A-E, columns 1-12 are wildtype/alive. Meanwhile, columns 13-24 are dead, since antibiotic was not admistered after pathogen.",,bbbc_elegans_dead,https://data.broadinstitute.org/bbbc/BBBC010/BBBC010_v2_images.zip,
Broad Bioimage Benchmark Collection,Human U2OS cells - compound cell-painting experiment,https://bbbc.broadinstitute.org/BBBC022,human,U-2 OS,"['nucleus', 'ER', 'nucleoli', 'actin|Golgi apparatus', 'mitochondria']",,,"[69120, 69120, 69120, 69120, 69120]",69120,512.0,512.0,tiff,"['f_nucleus', 'f_er', 'f_nucleoli', 'f_actin_golgi', 'f_mitochondria']",fluorescence,413.0,Phenotypic profiling along with mechanism of action is available when data is downloaded.,,bbbc_u2os_cell_painting,"http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20585w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20585w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20585w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20585w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20585w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20586w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20586w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20586w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20586w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20586w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20589w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20589w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20589w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20589w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20589w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20590w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20590w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20590w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20590w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20590w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20591w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20591w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20591w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20591w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20591w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20592w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20592w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20592w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20592w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20592w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20593w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20593w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20593w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20593w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20593w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20594w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20594w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20594w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20594w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20594w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20595w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20595w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20595w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20595w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20595w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20596w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20596w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20596w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20596w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20596w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20607w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20607w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20607w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20607w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20607w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20608w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20608w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20608w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20608w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20608w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20625w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20625w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20625w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20625w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20625w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20626w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20626w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20626w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20626w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20626w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20630w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20630w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20630w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20630w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20630w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20633w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20633w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20633w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20633w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20633w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20639w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20639w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20639w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20639w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20639w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20640w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20640w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20640w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20640w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20640w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20641w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20641w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20641w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20641w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20641w5.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20646w1.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20646w2.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20646w3.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20646w4.zip, http://www.broadinstitute.org/bbbc/BBBC022/BBBC022_v1_images_20646w5.zip",
